source_link_id,manual_id,publication_number,ata_code,page_sequence,page_label,page_type,title,rescarta_object_id,rescarta_page_id,rescarta_url,source_url,tiff_path,ocr_text_path
t_p_120_1176:t_p_120_1176_p000272,t_p_120_1176,T.P. 120/1176,25-21-00,272,1213,,,t_p_120_1176,000272,http://localhost:8080/rescarta/t_p_120_1176/000272,http://localhost:8080/rescarta/t_p_120_1176/000272,local_data\rescarta_exports\t_p_120_1176\pages\000272_00000272.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000272_00000272.txt
t_p_120_1176:t_p_120_1176_p000273,t_p_120_1176,T.P. 120/1176,25-21-00,273,1214,,,t_p_120_1176,000273,http://localhost:8080/rescarta/t_p_120_1176/000273,http://localhost:8080/rescarta/t_p_120_1176/000273,local_data\rescarta_exports\t_p_120_1176\pages\000273_00000273.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000273_00000273.txt
t_p_120_1176:t_p_120_1176_p000274,t_p_120_1176,T.P. 120/1176,25-21-00,274,1215,,,t_p_120_1176,000274,http://localhost:8080/rescarta/t_p_120_1176/000274,http://localhost:8080/rescarta/t_p_120_1176/000274,local_data\rescarta_exports\t_p_120_1176\pages\000274_00000274.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000274_00000274.txt
t_p_120_1176:t_p_120_1176_p000275,t_p_120_1176,T.P. 120/1176,25-21-00,275,1216,,,t_p_120_1176,000275,http://localhost:8080/rescarta/t_p_120_1176/000275,http://localhost:8080/rescarta/t_p_120_1176/000275,local_data\rescarta_exports\t_p_120_1176\pages\000275_00000275.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000275_00000275.txt
t_p_120_1176:t_p_120_1176_p000276,t_p_120_1176,T.P. 120/1176,25-21-00,276,1217,,,t_p_120_1176,000276,http://localhost:8080/rescarta/t_p_120_1176/000276,http://localhost:8080/rescarta/t_p_120_1176/000276,local_data\rescarta_exports\t_p_120_1176\pages\000276_00000276.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000276_00000276.txt
t_p_120_1176:t_p_120_1176_p000277,t_p_120_1176,T.P. 120/1176,25-21-00,277,1218,,,t_p_120_1176,000277,http://localhost:8080/rescarta/t_p_120_1176/000277,http://localhost:8080/rescarta/t_p_120_1176/000277,local_data\rescarta_exports\t_p_120_1176\pages\000277_00000277.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000277_00000277.txt
t_p_120_1176:t_p_120_1176_p000278,t_p_120_1176,T.P. 120/1176,25-21-00,278,1219,,,t_p_120_1176,000278,http://localhost:8080/rescarta/t_p_120_1176/000278,http://localhost:8080/rescarta/t_p_120_1176/000278,local_data\rescarta_exports\t_p_120_1176\pages\000278_00000278.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000278_00000278.txt
t_p_120_1176:t_p_120_1176_p000279,t_p_120_1176,T.P. 120/1176,25-21-00,279,1220,,,t_p_120_1176,000279,http://localhost:8080/rescarta/t_p_120_1176/000279,http://localhost:8080/rescarta/t_p_120_1176/000279,local_data\rescarta_exports\t_p_120_1176\pages\000279_00000279.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000279_00000279.txt
t_p_120_1176:t_p_120_1176_p000280,t_p_120_1176,T.P. 120/1176,25-21-00,280,1221,,,t_p_120_1176,000280,http://localhost:8080/rescarta/t_p_120_1176/000280,http://localhost:8080/rescarta/t_p_120_1176/000280,local_data\rescarta_exports\t_p_120_1176\pages\000280_00000280.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000280_00000280.txt
t_p_120_1176:t_p_120_1176_p000281,t_p_120_1176,T.P. 120/1176,25-21-00,281,1222,,,t_p_120_1176,000281,http://localhost:8080/rescarta/t_p_120_1176/000281,http://localhost:8080/rescarta/t_p_120_1176/000281,local_data\rescarta_exports\t_p_120_1176\pages\000281_00000281.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000281_00000281.txt
