page_number,page_id,legacy_route,primary_route,secondary_routes,route_confidence_score,route_confidence_band,auto_resolved,multi_route_required,validator_required,do_not_embed,candidate_routes,route_reasons,validator_contracts,ocr_text_word_count,part_number_count,source_member,source_image_path,ocr_text_path
488,t_p_120_1176_p000488,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",287,0,00000488.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000488.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000488.txt
489,t_p_120_1176_p000489,table,procedure_or_description,[],62.0,low,False,True,True,True,"[""procedure_or_description"", ""table_or_index""]","[""procedure_terms_and_prose_density""]","[""procedure_description_context_scan""]",211,0,00000489.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000489.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000489.txt
490,t_p_120_1176_p000490,table,procedure_or_description,[],62.0,low,False,True,True,True,"[""procedure_or_description"", ""table_or_index""]","[""procedure_terms_and_prose_density""]","[""procedure_description_context_scan""]",124,0,00000490.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000490.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000490.txt
491,t_p_120_1176_p000491,normal_text,image_visual_diagram,[],82.0,medium,False,False,True,True,"[""image_visual_diagram""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan""]",79,0,00000491.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000491.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000491.txt
492,t_p_120_1176_p000492,table,image_visual_diagram,[],82.0,medium,False,False,True,True,"[""image_visual_diagram"", ""table_or_index""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan""]",85,0,00000492.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000492.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000492.txt
493,t_p_120_1176_p000493,normal_text,image_visual_diagram,[],82.0,medium,False,False,True,True,"[""image_visual_diagram""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan""]",86,0,00000493.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000493.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000493.txt
494,t_p_120_1176_p000494,normal_text,image_visual_diagram,[],82.0,medium,False,False,True,True,"[""image_visual_diagram""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan""]",70,0,00000494.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000494.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000494.txt
495,t_p_120_1176_p000495,table,image_visual_diagram,[],82.0,medium,False,False,True,True,"[""image_visual_diagram"", ""table_or_index""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan""]",80,0,00000495.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000495.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000495.txt
496,t_p_120_1176_p000496,table,image_visual_diagram,[],82.0,medium,False,False,True,True,"[""image_visual_diagram"", ""table_or_index""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan""]",84,0,00000496.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000496.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000496.txt
497,t_p_120_1176_p000497,image_visual,image_visual_diagram,[],90.0,high,True,False,False,False,"[""image_visual_diagram""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan""]",81,0,00000497.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000497.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000497.txt
498,t_p_120_1176_p000498,image_visual,image_visual_diagram,[],90.0,high,True,False,False,False,"[""image_visual_diagram""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan""]",57,0,00000498.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000498.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000498.txt
499,t_p_120_1176_p000499,image_visual,image_visual_diagram,[],90.0,high,True,False,False,False,"[""image_visual_diagram""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan""]",61,0,00000499.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000499.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000499.txt
500,t_p_120_1176_p000500,image_visual,image_visual_diagram,[],90.0,high,True,False,False,False,"[""image_visual_diagram""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan""]",56,0,00000500.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000500.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000500.txt
501,t_p_120_1176_p000501,table,image_visual_diagram,"[""mixed_text_and_figure"", ""procedure_or_description""]",82.0,low,False,True,True,True,"[""image_visual_diagram"", ""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan"", ""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",108,0,00000501.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000501.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000501.txt
502,t_p_120_1176_p000502,table,image_visual_diagram,"[""mixed_text_and_figure"", ""procedure_or_description""]",82.0,low,False,True,True,True,"[""image_visual_diagram"", ""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""concrete_visual_labels_sparse_non_table_text""]","[""image_visual_ocr_and_vision_queue_scan"", ""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",109,0,00000502.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000502.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000502.txt
503,t_p_120_1176_p000503,image_visual,image_visual_diagram,"[""mixed_text_and_figure"", ""procedure_or_description""]",90.0,medium,False,True,True,True,"[""image_visual_diagram"", ""mixed_text_and_figure"", ""procedure_or_description""]","[""legacy_image_visual_sparse_text""]","[""image_visual_ocr_and_vision_queue_scan"", ""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",100,0,00000503.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000503.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000503.txt
504,t_p_120_1176_p000504,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",123,0,00000504.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000504.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000504.txt
505,t_p_120_1176_p000505,table,mixed_text_and_figure,"[""procedure_or_description""]",70.0,medium,False,True,True,True,"[""mixed_text_and_figure"", ""procedure_or_description"", ""table_or_index""]","[""figure_caption_with_meaningful_prose""]","[""mixed_text_visual_split_scan"", ""procedure_description_context_scan""]",276,0,00000505.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000505.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000505.txt
