level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	1	9	2	1012	782	18	17	92.688713	*
5	1	1	1	9	3	1062	783	113	39	95.726379	1354
5	1	1	1	9	4	1379	782	86	51	94.491440	Apr
5	1	1	1	9	5	1501	782	129	40	94.491440	10/06
5	1	1	1	9	6	1783	781	158	40	91.386635	25-IPL
5	1	1	1	9	7	2398	782	113	39	96.802460	1393
5	1	1	1	9	8	2721	780	93	52	95.993828	Sep
5	1	1	1	9	9	2834	781	132	40	95.993828	30/98
4	1	1	1	10	0	447	854	2519	52	-1	
5	1	1	1	10	1	447	855	158	40	89.830391	25-IPL
5	1	1	1	10	2	1062	856	114	39	96.915504	1355
5	1	1	1	10	3	1396	855	64	41	96.362480	Jul
5	1	1	1	10	4	1501	855	129	40	96.198708	15/02
5	1	1	1	10	5	1783	855	158	40	91.793945	25-IPL
5	1	1	1	10	6	2398	856	113	39	96.572037	1394
5	1	1	1	10	7	2721	854	93	52	95.993828	Sep
5	1	1	1	10	8	2834	855	132	40	95.993828	30/98
4	1	1	1	11	0	447	927	2519	52	-1	
5	1	1	1	11	1	447	928	158	40	89.830391	25-IPL
5	1	1	1	11	2	1062	929	113	39	96.679672	1356
5	1	1	1	11	3	1385	927	93	52	95.599144	Sep
5	1	1	1	11	4	1498	928	132	40	95.599144	30/98
5	1	1	1	11	5	1783	928	158	40	91.793945	25-IPL
5	1	1	1	11	6	2398	929	113	39	96.174980	1395
5	1	1	1	11	7	2721	927	93	52	95.993828	Sep
5	1	1	1	11	8	2834	928	132	40	95.993828	30/98
4	1	1	1	12	0	447	1000	2519	52	-1	
5	1	1	1	12	1	447	1001	158	40	89.830391	25-IPL
5	1	1	1	12	2	1012	1001	18	17	92.553368	*
5	1	1	1	12	3	1062	1002	113	39	96.492020	1357
5	1	1	1	12	4	1379	1001	86	51	94.491440	Apr
5	1	1	1	12	5	1501	1001	129	40	94.491440	10/06
5	1	1	1	12	6	1783	1001	158	40	91.793945	25-IPL
5	1	1	1	12	7	2398	1002	113	39	96.836792	1396
5	1	1	1	12	8	2721	1000	93	52	95.993828	Sep
5	1	1	1	12	9	2834	1001	132	40	95.993828	30/98
4	1	1	1	13	0	447	1074	2519	52	-1	
5	1	1	1	13	1	447	1075	158	40	89.830391	25-IPL
5	1	1	1	13	2	1012	1075	18	17	92.561180	*
5	1	1	1	13	3	1062	1076	113	39	96.446571	1358
5	1	1	1	13	4	1379	1075	86	51	94.491440	Apr
5	1	1	1	13	5	1501	1075	129	40	94.491440	10/06
5	1	1	1	13	6	1783	1075	158	40	91.793945	25-IPL
5	1	1	1	13	7	2398	1076	113	39	95.770157	1397
5	1	1	1	13	8	2721	1074	93	52	95.993828	Sep
5	1	1	1	13	9	2834	1075	132	40	95.993828	30/98
4	1	1	1	14	0	447	1147	2519	52	-1	
5	1	1	1	14	1	447	1148	158	40	89.830391	25-IPL
5	1	1	1	14	2	1062	1149	113	39	96.863586	1359
5	1	1	1	14	3	1385	1147	93	52	95.599144	Sep
5	1	1	1	14	4	1498	1148	132	40	95.599144	30/98
5	1	1	1	14	5	1783	1148	158	40	91.793945	25-IPL
5	1	1	1	14	6	2398	1149	113	39	96.514267	1398
5	1	1	1	14	7	2721	1147	93	52	95.993828	Sep
5	1	1	1	14	8	2834	1148	132	40	95.993828	30/98
4	1	1	1	15	0	447	1220	2519	52	-1	
